iri,label,count,pos,rdf_type,description
<http://www.w3.org/2002/07/owl#datatypeComplementOf>,datatypeComplementOf,0,1,,The property that determines that a given data range is the complement of another data range with respect to the data domain.
<http://www.w3.org/2002/07/owl#differentFrom>,differentFrom,0,1,,The property that determines that two given individuals are different.
<http://www.w3.org/2002/07/owl#disjointUnionOf>,disjointUnionOf,0,1,,The property that determines that a given class is equivalent to the disjoint union of a collection of other classes.
<http://www.w3.org/2002/07/owl#disjointWith>,disjointWith,0,1,,The property that determines that two given classes are disjoint.
<http://www.w3.org/2002/07/owl#distinctMembers>,distinctMembers,0,1,,The property that determines the collection of pairwise different individuals in a owl:AllDifferent axiom.
<http://www.w3.org/2002/07/owl#equivalentClass>,equivalentClass,0,1,,"The property that determines that two given classes are equivalent, and that is used to specify datatype definitions."
<http://www.w3.org/2002/07/owl#equivalentProperty>,equivalentProperty,0,1,,The property that determines that two given properties are equivalent.
<http://www.w3.org/2002/07/owl#hasKey>,hasKey,0,1,,The property that determines the collection of properties that jointly build a key.
<http://www.w3.org/2002/07/owl#hasSelf>,hasSelf,0,1,,The property that determines the property that a self restriction refers to.
<http://www.w3.org/2002/07/owl#hasValue>,hasValue,0,1,,The property that determines the individual that a has-value restriction refers to.
<http://www.w3.org/2002/07/owl#intersectionOf>,intersectionOf,0,1,,The property that determines the collection of classes or data ranges that build an intersection.
<http://www.w3.org/2002/07/owl#inverseOf>,inverseOf,0,1,,The property that determines that two given properties are inverse.
<http://www.w3.org/2002/07/owl#maxCardinality>,maxCardinality,0,1,,The property that determines the cardinality of a maximum cardinality restriction.
<http://www.w3.org/2002/07/owl#maxQualifiedCardinality>,maxQualifiedCardinality,0,1,,The property that determines the cardinality of a maximum qualified cardinality restriction.
<http://www.w3.org/2002/07/owl#members>,members,0,1,,"The property that determines the collection of members in either a owl:AllDifferent, owl:AllDisjointClasses or owl:AllDisjointProperties axiom."
<http://www.w3.org/2002/07/owl#minCardinality>,minCardinality,0,1,,The property that determines the cardinality of a minimum cardinality restriction.
<http://www.w3.org/2002/07/owl#minQualifiedCardinality>,minQualifiedCardinality,0,1,,The property that determines the cardinality of a minimum qualified cardinality restriction.
<http://www.w3.org/2002/07/owl#onClass>,onClass,0,1,,The property that determines the class that a qualified object cardinality restriction refers to.
<http://www.w3.org/2002/07/owl#onDataRange>,onDataRange,0,1,,The property that determines the data range that a qualified data cardinality restriction refers to.
<http://www.w3.org/2002/07/owl#onDatatype>,onDatatype,0,1,,The property that determines the datatype that a datatype restriction refers to.
<http://www.w3.org/2002/07/owl#oneOf>,oneOf,0,1,,The property that determines the collection of individuals or data values that build an enumeration.
<http://www.w3.org/2002/07/owl#onProperties>,onProperties,0,1,,The property that determines the n-tuple of properties that a property restriction on an n-ary data range refers to.
<http://www.w3.org/2002/07/owl#onProperty>,onProperty,0,1,,The property that determines the property that a property restriction refers to.
<http://www.w3.org/2002/07/owl#propertyChainAxiom>,propertyChainAxiom,0,1,,The property that determines the n-tuple of properties that build a sub property chain of a given property.
<http://www.w3.org/2002/07/owl#propertyDisjointWith>,propertyDisjointWith,0,1,,The property that determines that two given properties are disjoint.
<http://www.w3.org/2002/07/owl#qualifiedCardinality>,qualifiedCardinality,0,1,,The property that determines the cardinality of an exact qualified cardinality restriction.
<http://www.w3.org/2002/07/owl#sameAs>,sameAs,0,1,,The property that determines that two given individuals are equal.
<http://www.w3.org/2002/07/owl#someValuesFrom>,someValuesFrom,0,1,,The property that determines the class that an existential property restriction refers to.
<http://www.w3.org/2002/07/owl#sourceIndividual>,sourceIndividual,0,1,,The property that determines the subject of a negative property assertion.
<http://www.w3.org/2002/07/owl#targetIndividual>,targetIndividual,0,1,,The property that determines the object of a negative object property assertion.
<http://www.w3.org/2002/07/owl#targetValue>,targetValue,0,1,,The property that determines the value of a negative data property assertion.
<http://www.w3.org/2002/07/owl#unionOf>,unionOf,0,1,,The property that determines the collection of classes or data ranges that build a union.
<http://www.w3.org/2002/07/owl#withRestrictions>,withRestrictions,0,1,,The property that determines the collection of facet-value pairs that define a datatype restriction.
