iri,label,count,pos,rdf_type,description
<http://xmlns.com/foaf/0.1/myersBriggs>,myersBriggs,0,1,,A Myers Briggs (MBTI) personality classification.
<http://xmlns.com/foaf/0.1/workplaceHomepage>,workplace homepage,0,1,,A workplace homepage of some person; the homepage of an organization they work for.
<http://xmlns.com/foaf/0.1/workInfoHomepage>,work info homepage,0,1,,A work info homepage of some person; a page about their work for some organization.
<http://xmlns.com/foaf/0.1/schoolHomepage>,schoolHomepage,0,1,,A homepage of a school attended by the person.
<http://xmlns.com/foaf/0.1/knows>,knows,0,1,,A person known by this person (indicating some level of reciprocated interaction between the parties).
<http://xmlns.com/foaf/0.1/interest>,interest,0,1,,A page about a topic of interest to this person.
<http://xmlns.com/foaf/0.1/topic_interest>,topic_interest,0,1,,A thing of interest to this person.
<http://xmlns.com/foaf/0.1/publications>,publications,0,1,,A link to the publications of this person.
<http://xmlns.com/foaf/0.1/currentProject>,current project,0,1,,A current project this person works on.
<http://xmlns.com/foaf/0.1/pastProject>,past project,0,1,,A project this person has previously worked on.
<http://xmlns.com/foaf/0.1/fundedBy>,funded by,0,1,,An organization funding a project or person.
<http://xmlns.com/foaf/0.1/logo>,logo,0,1,,A logo representing some thing.
<http://xmlns.com/foaf/0.1/topic>,topic,0,1,,A topic of some page or document.
<http://xmlns.com/foaf/0.1/primaryTopic>,primary topic,0,1,,The primary topic of some page or document.
<http://xmlns.com/foaf/0.1/focus>,focus,0,1,,The underlying or 'focal' entity associated with some SKOS-described concept.
<http://xmlns.com/foaf/0.1/theme>,theme,0,1,,A theme.
<http://xmlns.com/foaf/0.1/account>,account,0,1,,Indicates an account held by this agent.
<http://xmlns.com/foaf/0.1/holdsAccount>,account,0,1,,Indicates an account held by this agent.
<http://xmlns.com/foaf/0.1/accountServiceHomepage>,account service homepage,0,1,,Indicates a homepage of the service provide for this online account.
<http://xmlns.com/foaf/0.1/accountName>,account name,0,1,,Indicates the name (identifier) associated with this online account.
<http://xmlns.com/foaf/0.1/member>,member,0,1,,Indicates a member of a Group
<http://xmlns.com/foaf/0.1/membershipClass>,membershipClass,0,1,,Indicates the class of individuals that are a member of a Group
<http://xmlns.com/foaf/0.1/birthday>,birthday,0,1,,"The birthday of this Agent, represented in mm-dd string form, eg. '12-31'."
<http://xmlns.com/foaf/0.1/age>,age,0,1,,The age in years of some agent.
<http://xmlns.com/foaf/0.1/status>,status,0,1,,A string expressing what the user is happy for the general public (normally) to know about their current activity.
